Opened,Open,High,Low,Close,Volume
2021-09-27 01:35:00,58.543,58.986,58.520,58.873,58425.6
2021-09-27 01:40:00,58.859,59.390,58.596,58.943,114693.7
2021-09-27 01:45:00,58.944,59.119,58.512,58.711,73766.5
2021-09-27 01:50:00,58.740,58.776,58.530,58.749,24717.9
2021-09-27 01:55:00,58.756,58.979,58.698,58.787,34140.0
2021-09-27 02:00:00,58.786,58.879,58.232,58.348,57108.6
2021-09-27 02:05:00,58.348,58.562,58.200,58.437,34824.1
2021-09-27 02:10:00,58.439,58.792,58.351,58.454,53493.5
2021-09-27 02:15:00,58.466,58.496,57.729,57.776,75740.4
2021-09-27 02:20:00,57.776,58.080,57.715,57.737,31817.7
2021-09-27 02:25:00,57.726,57.957,57.601,57.807,46757.9
2021-09-27 02:30:00,57.803,58.192,57.786,57.926,37861.7
2021-09-27 02:35:00,57.920,58.045,57.735,57.744,29798.2
2021-09-27 02:40:00,57.740,57.947,57.688,57.860,24363.7
2021-09-27 02:45:00,57.858,57.955,57.503,57.616,33295.4
2021-09-27 02:50:00,57.616,58.022,57.615,57.992,22195.3
2021-09-27 02:55:00,57.985,58.004,57.717,57.747,13669.6
2021-09-27 03:00:00,57.749,58.069,57.631,57.926,35665.0
2021-09-27 03:05:00,57.929,57.958,57.805,57.888,11207.9
2021-09-27 03:10:00,57.888,58.205,57.802,58.150,22638.6
2021-09-27 03:15:00,58.150,58.667,58.074,58.220,51559.4
2021-09-27 03:20:00,58.219,58.227,58.033,58.200,20677.9
2021-09-27 03:25:00,58.200,58.200,57.836,57.950,17798.0
2021-09-27 03:30:00,57.955,57.955,57.706,57.849,18890.8
2021-09-27 03:35:00,57.850,57.892,57.769,57.793,8904.7
2021-09-27 03:40:00,57.791,57.802,57.505,57.539,21550.9
2021-09-27 03:45:00,57.540,57.772,57.278,57.320,28516.5
2021-09-27 03:50:00,57.320,57.677,57.311,57.480,22342.8
2021-09-27 03:55:00,57.488,57.750,57.402,57.745,22992.5
2021-09-27 04:00:00,57.745,57.812,57.465,57.690,22162.4
2021-09-27 04:05:00,57.682,57.881,57.682,57.748,35417.5
2021-09-27 04:10:00,57.746,58.339,57.721,58.106,36612.4
2021-09-27 04:15:00,58.105,58.106,57.884,57.920,17144.7
2021-09-27 04:20:00,57.921,58.019,57.803,57.855,16057.4
2021-09-27 04:25:00,57.855,58.047,57.828,57.947,12579.3
2021-09-27 04:30:00,57.947,57.952,57.555,57.568,18661.6
2021-09-27 04:35:00,57.567,57.684,57.405,57.548,41891.2
2021-09-27 04:40:00,57.547,57.642,57.437,57.603,16315.8
2021-09-27 04:45:00,57.603,57.725,57.453,57.658,12981.0
2021-09-27 04:50:00,57.658,57.720,57.520,57.587,11584.5
2021-09-27 04:55:00,57.587,57.918,57.559,57.776,15626.8
2021-09-27 05:00:00,57.765,57.984,57.722,57.947,18661.0
2021-09-27 05:05:00,57.947,58.000,57.807,57.957,19781.1
2021-09-27 05:10:00,57.957,58.277,57.892,58.190,28881.5
2021-09-27 05:15:00,58.187,58.204,57.818,57.944,21641.4
2021-09-27 05:20:00,57.939,58.054,57.854,57.933,12966.4
2021-09-27 05:25:00,57.929,58.023,57.828,57.991,9316.5
2021-09-27 05:30:00,57.997,58.137,57.800,57.855,21416.1
2021-09-27 05:35:00,57.855,57.939,57.794,57.809,13337.0
2021-09-27 05:40:00,57.809,57.972,57.650,57.951,26318.0
2021-09-27 05:45:00,57.951,58.218,57.903,57.977,26143.8
2021-09-27 05:50:00,57.975,58.199,57.833,58.116,17269.1
2021-09-27 05:55:00,58.116,58.655,58.079,58.474,73985.9
2021-09-27 06:00:00,58.459,58.777,58.183,58.208,65670.7
2021-09-27 06:05:00,58.204,58.396,57.906,58.166,47852.1
2021-09-27 06:10:00,58.161,58.296,57.978,58.185,23494.5
2021-09-27 06:15:00,58.185,58.317,58.134,58.307,10428.8
